Parosh A. Abdulla
Rajeev Alur
Christel Baier
Clark Barrett
Armin Biere
Nikolaj Bj&oslash;rner
Roderick Bloem
Edmund Clarke
Byron Cook
Martin Fr&auml;nzle
Aarti Gupta
John Harrison
Klaus Havelund
Alan Hu
Kevin Jones
Daniel Kr&ouml;ning
Robert Kurshan
Yassine Lakhnech
Kenneth McMillan
Markus M&uuml;ller-Olm
Kedar Namjoshi
Madhusudan Parthasarathy
Sriram Rajamani
Andrey Rybalchenko
Philippe Schnoebelen
Sanjit Seshia
Natarajan Shankar
Fabio Somenzi
Ofer Strichman
Serdar Tasiran
Tayssir Touili
Stavros Tripakis
Helmuth Veith
