Azadeh Farzan
Jasmin Fisher
Cormac Flanagan
Steven German
Dimitra Giannakopoulou
Ganesh Gopalakrishnan
Susanne Graf
Keijo Heljanko
William Hung
Franjo Ivancic
Joost-Pieter Katoen
Stefan Kowalewski
Daniel Kroening
Orna Kupferman
Robert P. Kurshan
Akash Lal
Kim G. Larsen
Ken Mcmillan
Madan Musuvathi
Michael Norrish
Madhusudan Parthasarathy
Shaz Qadeer
John Regehr
Andrey Rybalchenko
Sriram Sankaranarayanan
Roberto Sebastiani
Sanjit A. Seshia
Ofer Strichman
Murali Talupur
Serdar Tasiran
Ashish Tiwari
Tayssir Touili
Viktor Vafeiadis
Bow-Yaw Wang
