Rajeev Alur
Domagoj Babic
Gogul Balakrishnan
Nikolaj Bjorner
Ahmed Bouajjani
Aaron Bradley
Pavol Cerny
Koen Claessen
Byron Cook
Azadeh Farzan
Bernd Finkbeiner
Jasmin Fisher
Mike Gordon
Orna Grumberg
Leopold Haller
Keijo Heljanko
William Hung
Somesh Jha
Susmit Jha
Barbara Jobstmann
Bengt Jonsson
Laura Kovacs
Daniel Kroening
Marta Kwiatkowska
Kim Guldstrand
Joao Marques
Kedar Namjoshi
Corina Pasareanu
Doron Peled
Pavithra Prabhakar
Jean-Francois Raskin
Koushik Sen
Natasha Sharygina
Nishant Sinha
Anna Slobodova
Fabio Somenzi
Cesare Tinelli
Thomas Wahl
Georg Weissenbacher
Eran Yahav
