Aws Albarghouthi
Jade Alglave
Rajeev Alur
Christel Baier
Gilles Barthe
Osbert Bastani
Josh Berdine
Per Bjesse
Nikolaj Bjorner
Roderick Bloem
Marc Brockschmidt
Pavol Cerny
Swarat Chaudhuri
Wei-Ngan Chin
Adam Chlipala
Hana Chockler
Eva Darulova
Cristina David
Dana Drachsler Cohen
Cezara Dr&abreve;goi
Constantin Enea
Azadeh Farzan
Grigory Fedyukovich
Yu Feng
Dana Fisman
Milos Gligoric
Patrice Godefroid
Laure Gonnord
Aarti Gupta
Arie Gurfinkel
Klaus Havelund
Chris Hawblitzel
Alan J. Hu
Shachar Itzhaky
Franjo Ivancic
Ranjit Jhala
Rajeev Joshi
Dejan Jovanovi&cacute;
Laura Kovacs
Burcu Kulahcioglu Ozkan
Marta Kwiatkowska
Shuvendu Lahiri
Akash Lal
Stephen Magill
Joao Marques-Silva
Ruben Martins
Ken McMillan
Vijay Murali
Peter M&uuml;ller
Mayur Naik
Hakjoo Oh
Oded Padon
Corina Pasareanu
Ruzica Piskac
Nir Piterman
Pavithra Prabhakar
Sylvie Putot
Grigore Rosu
Dorsa Sadigh
Roopsha Samanta
Sriram Sankaranarayanan
Koushik Sen
Sanjit A. Seshia
Natarajan Shankar
Rahul Sharma
Natasha Sharygina
Sharon Shoham
Alexandra Silva
Rishabh Singh
Anna Slobodova
Marcelo Sousa
Cesare Tinelli
Ufuk Topcu
Caterina Urban
Margus Veanes
Yakir Vizel
Chao Wang
Georg Weissenbacher
Eran Yahav
Hongseok Yang
