Erika Abraham
Jade Alglave
Timos Antonopoulos
Pranav Ashar
Clark Barrett
Armin Biere
Per Bjesse
Roderick Bloem
Gianpiero Cabodi
Supratik Chakraborty
Sylvain Conchon
Vijay D'Silva
Rayna Dimitrova
Dino Distefano
Grigory Fedyukovich
Alberto Griggio
Arie Gurfinkel
Liana Hadarean
Ziyad Hanna
Fei He
Warren A. Hunt, Jr. 
Alexander Ivrii
Dejan Jovanovi&cacute;
Ken McMillan
Alexander Nadel
Nina Narodytska
Ziv Nevo
Corina P&abreve;s&abreve;reanu
Giles Reger
Christoph Scholl
Peter Schrammel
Natasha Sharygina
Anna Slobodova
Daryl Stewart
Christoph Sticksel
Ofer Strichman
Yakir Vizel
Chao Wang
Georg Weissenbacher
