P:Natasha Sharygina
P:Sriram Sankaranarayanan
Christel Baier
Haniel Barbosa
Ezio Bartocci
Dirk Beyer
Armin Biere
Nikolaj Bj&oslash;rner
Roderick Bloem
Ahmed Bouajjani
Hana Chockler
Alessandro Cimatti
Rance Cleaveland
Javier Esparza
Chuchu Fan
Bernd Finkbeiner
Martin Fr&auml;nzle
Khalil Ghorbal
Laure Gonnord
Orna Grumberg
Kim Guldstrand Larsen
Arie Gurfinkel
Ranjit Jhala
Bettina K&ouml;nighofer
Laura Kovacs
Alexander Kulikov
Wenchao Li
Peter M&uuml;ller
Kedar Namjoshi
Aina Niemetz
Corina Pasareanu
Nir Piterman
Philipp Ruemmer
Krishna Shankara Narayanan
Cesar Sanchez
Sharon Shoham
Fabio Somenzi
Cesare Tinelli
Stavros Tripakis
Frits Vaandrager
Yakir Vizel
Tomas Vojnar
Naijun Zhan
Lijun Zhang
Florian Zuleger
