Dirk Beyer
Damien Zufferey
Timos Antonopoulos
Nikolaj Bjorner
Pavol Cerny
Rayna Dimitrova
Constantin Enea
Pierre Ganty
Alberto Griggio
Ashutosh Gupta
Marie-Christine Jakobs
Laura Kovacs
Jan Kretinsky
Markus Kusano
Ori Lahav
David Monniaux
Kedar Namjoshi
Andreas Podelski
Nadia Polikarpova
Shaz Qadeer
Daniel Schwartz-Narbonne
Martina Seidl
Natasha Sharygina
Mihaela Sighireanu
Jan Strejček
Alexander J. Summers
Michael Tautschnig
Caterina Urban
Heike Wehrheim
Thomas Wies
Lenore Zuck
